"match_id","model_version","feature_cutoff_date","date","home_team","away_team","home_goals","away_goals","venue","feature_source_date","elo_diff","actual_outcome","xgf_ewma_diff","xga_ewma_diff","xgd_ewma_diff","shots_ewma_diff","form_index_diff","log_squad_value_diff","log_top11_value_diff","log_top15_value_diff","median_player_value_diff","squad_value_concentration_diff","avg_age_diff","total_caps_diff","total_goals_diff","num_players_with_value_diff","missing_value_share_diff","log_top23_value_diff","top5_value_share_diff","top11_to_top23_ratio_diff","value_drop_11_to_23_diff","value_weighted_avg_age_diff","top11_avg_age_diff","top11_u24_value_share_diff","top11_over30_value_share_diff","log_goalkeeper_value_diff","log_defense_value_diff","log_midfield_value_diff","log_attack_value_diff","log_top1_goalkeeper_value_diff","log_top4_defense_value_diff","log_top4_midfield_value_diff","log_top3_attack_value_diff","defense_value_share_diff","midfield_value_share_diff","attack_value_share_diff","squad_value_momentum_6m_diff","squad_value_momentum_12m_diff","top11_value_momentum_6m_diff","top11_value_momentum_12m_diff","home_attack_ability","away_attack_ability","home_defense_ability","away_defense_ability","attack_ability_diff","defense_ability_diff","goal_ability_source_date"
"GA01","hybrid",2026-06-10,2026-06-11,"Mexico","South Africa",NA,NA,"neutral",2026-06-09,223.57163594874,NA,0,0,0,0,0,1.7393472407154,1.6659280678844,1.7030938024013,950000,-0.048421634709754,-3.7574851857852,0,0,9,0.292821606254442,1.7361515262218,-0.082720065729845,-0.05409981873656,-0.0835907926965039,-0.661631415820302,-2.4767593802501,-0.0400801603206413,-0.059300419019858,2.4361112713491,3.2533266571876,1.7485694566731,1.2661839341116,1.7429645907888,2.8813214121389,2.4203679008727,1.1977031476802,0.235670916119613,0.002628979267426,-0.243132520835752,-0.0457420032006368,-0.0560517745894735,-0.0427164611407207,-0.0541949346081942,1.09304966155746,1.05882709937776,0.60716909003711,0.625348670312976,0.034222562179699,-0.0181795802758666,2026-06-09
"GA02","hybrid",2026-06-10,2026-06-11,"Korea Republic","Czech Republic",NA,NA,"neutral",2026-06-09,57.6482183318201,NA,0,0,0,0,0,-0.544643950897402,-0.2712155802108,-0.326821978186,425000,0.188656237163105,-2.2007187112443,0,0,-101,0.180996172959388,-0.394663593910199,0.245974245949698,0.099979882562091,0.13990025157717,0.5131278614945,3.112438553917,-0.261036985694758,0.028032884730165,-17.6799177304261,-0.528433360097001,-0.0263376953408994,-0.361207674187501,-16.3804599923489,-0.2753144151913,0.216223101764697,-0.400160045408999,0.00401758466393301,0.153149453862573,0.062130056312178,-0.0461786131411693,-0.142680470295865,-0.0786224746452894,-0.234847936333853,1.38863539005116,1.26960080466815,0.662748205107586,0.870298985915394,0.11903458538301,-0.207550780807808,2026-06-09
"GA03","hybrid",2026-06-10,2026-06-18,"Czech Republic","South Africa",NA,NA,"neutral",2026-06-09,97.14638671172,NA,0,0,0,0,0,1.7856866692243,1.6544993721479,1.6863989239406,-25000,-0.0840991152333029,-1.0698541482335,0,0,99,0.143437862950058,1.7017641841095,-0.120950700994009,-0.036828845961132,-0.055613461917449,-0.8836020483288,-4.1963785700952,0.251107579142961,-0.00304824207802601,5.6073707632511,3.0933823369083,1.555853590069,1.0484928397472,4.3079130251739,3.0091547800124,1.9810012533494,1.0775588382468,0.179349919128044,-0.05826467442194,-0.336377082857579,-0.0610971469389447,-0.0285194942450246,-0.068851304158823,0.0107493478562688,1.26960080466815,1.05882709937776,0.870298985915394,0.625348670312976,0.21077370529039,0.244950315602418,2026-06-09
"GA04","hybrid",2026-06-10,2026-06-18,"Mexico","Korea Republic",NA,NA,"neutral",2026-06-09,68.7770309052,NA,0,0,0,0,0,0.498304522388501,0.282644275947302,0.343516856646698,550000,-0.152978756639556,-0.486912326307401,0,0,11,-0.031612429655004,0.429050936022499,-0.207743610685534,-0.117250855337519,-0.167877582356225,-0.291157228986002,-1.3928193640719,-0.0301507537688442,-0.084285061671997,14.5086582385241,0.688377680376302,0.219053561945,0.578898768551902,13.8155115579638,0.1474810473178,0.223143545758603,0.520304354842398,0.052303412327636,-0.092255800173207,0.031114505709649,0.0615337568794772,0.115148189951416,0.104757317663392,0.16990365386939,1.09304966155746,1.38863539005116,0.60716909003711,0.662748205107586,-0.295585728493701,-0.0555791150704762,2026-06-09
"GA05","hybrid",2026-06-10,2026-06-24,"Czech Republic","Mexico",NA,NA,"neutral",2026-06-09,-126.42524923702,NA,0,0,0,0,0,0.0463394285089009,-0.0114286957365017,-0.0166948784606973,-975000,-0.0356774805235489,2.6876310375517,0,0,90,-0.149383743304384,-0.0343873421123,-0.038230635264164,0.017270972775428,0.027977330779055,-0.221970632508498,-1.7196191898451,0.291187739463602,0.056252176941832,3.171259491902,-0.159944320279301,-0.1927158666041,-0.217691094364401,2.5649484343851,0.1278333678735,-0.4393666475233,-0.1201443094334,-0.056320996991569,-0.060893653689366,-0.093244562021827,-0.0153551437383079,0.0275322803444489,-0.0261348430181023,0.064944282464463,1.26960080466815,1.09304966155746,0.870298985915394,0.60716909003711,0.176551143110691,0.263129895878284,2026-06-09
"GA06","hybrid",2026-06-10,2026-06-24,"South Africa","Korea Republic",NA,NA,"neutral",2026-06-09,-154.79460504354,NA,0,0,0,0,0,-1.2410427183269,-1.3832837919371,-1.3595769457546,-4e+05,-0.104557121929802,3.2705728594778,0,0,2,-0.324434035909446,-1.3071005901993,-0.125023544955689,-0.063151036600959,-0.084286789659721,0.370474186834301,1.0839400161782,0.0099294065517971,-0.024984642652139,12.072546967175,-2.5649489768113,-1.5295158947281,-0.687285165559697,12.072546967175,-2.7338403648211,-2.1972243551141,-0.677398792837799,-0.183367503791977,-0.094884779440633,0.274247026545401,0.107275760080114,0.171199964540889,0.147473778804112,0.224098588477584,1.05882709937776,1.38863539005116,0.625348670312976,0.662748205107586,-0.3298082906734,-0.0373995347946096,2026-06-09
"GB01","hybrid",2026-06-10,2026-06-12,"Canada","Bosnia and Herzegovina",NA,NA,"neutral",2026-06-09,195.69686799735,NA,0,0,0,0,0,0.0596107913179971,0.5748735488298,0.517410498349999,-50000,0.348748836408827,-2.56274197798,0,0,-101,0.195026500677924,0.416059334536399,0.300922980961319,0.132583063640599,0.174749025099848,-2.5159721737731,-0.625972248148798,-0.082623672037459,-0.241370895870761,-1.3334515909479,0.374250082855898,-0.6751161620147,0.345848037503998,-1.5040766189989,0.751987664565501,0.341045399869998,0.4700036185315,0.113400220214681,-0.17251890033384,0.101300488446811,-0.0867036284165543,-0.061177292500453,-0.124746140294533,-0.11518243300679,1.25235727003351,0.941590503655614,0.650121025826033,1.09818988763044,0.3107667663779,-0.448068861804412,2026-06-09
"GB02","hybrid",2026-06-10,2026-06-13,"Qatar","Switzerland",NA,NA,"neutral",2026-06-09,-242.22435998691,NA,0,0,0,0,0,-3.5889675250173,-3.0222914678429,-3.1507697921299,0,0.432591660470171,2.133693805584,0,0,-159,0.221296296296296,-3.2809267028316,0.499902123198295,0.227895392278954,-0.729435483870968,3.4952267413931,4.7837720116981,-0.290322580645161,0.392706872370267,-17.882398291084,-3.8303493159755,-4.2155884784976,-2.7472707894691,-17.5043900370782,-3.1230712238427,-3.7202952351247,-2.2335921024594,-0.050305715496,-0.169565371341507,0.353429400628046,0.00672673838097992,-0.0369376722731722,-0.028631812557208,-0.128933682820996,1.10854582473133,1.30456899604403,0.969457464642776,0.827922852501601,-0.196023171312703,0.141534612141175,2026-06-09
"GB03","hybrid",2026-06-10,2026-06-18,"Switzerland","Bosnia and Herzegovina",NA,NA,"neutral",2026-06-09,230.8001241628,NA,0,0,0,0,0,0.930229440383698,1.0225476994005,1.0377373788197,2e+05,0.050036957359421,-2.745594729297,0,0,5,0.251229508196721,1.0201994114115,0.010877287861792,0.00181099804919804,0.00279123872896503,-1.2184613122566,-0.0430589260157994,0.094134239837986,-0.13442065673369,1.7973423908447,0.662176024752899,1.0241498616291,0.7975584688221,2.1848018601155,0.332133826458701,1.6461874114761,0.693147166274201,-0.072111021150467,0.032647054790717,-0.037978112873629,-0.0309431287615318,-0.0090549467713146,-0.0231336247751344,0.0325017990423858,1.30456899604403,0.941590503655614,0.827922852501601,1.09818988763044,0.362978492388416,-0.270267035128844,2026-06-09
"GB04","hybrid",2026-06-10,2026-06-18,"Canada","Qatar",NA,NA,"neutral",2026-06-09,207.12110382146,NA,0,0,0,0,0,2.7183488759516,2.5746173172722,2.6304429116602,-250000,-0.133879781420765,-1.950841054267,0,0,53,-0.277499303815093,2.6767866259565,-0.209856430098768,-0.097123326687553,0.901393270241851,-4.7927376029096,-5.3666853338311,0.113564668769716,-0.499657111507338,14.7516043092914,3.5424233740785,2.5163224548538,2.295560358151,13.8155115579638,3.5429250619495,2.4151532235186,2.0104485547167,0.235816956861148,-0.03560058378305,-0.214150799307606,-0.0624872380360024,-0.0151846734559662,-0.072980702962191,-0.0187505492281801,1.25235727003351,1.10854582473133,0.650121025826033,0.969457464642776,0.143811445302187,-0.319336438816743,2026-06-09
