"edition_id","fixture_id","forecast_status","suppression_reason","primary_probability_view","p_home","p_draw","p_away","expected_home_goals","expected_away_goals","model_id","model_sha256","model_release_id","release_manifest_sha256","release_selector_sha256","model_data_cutoff","model_data_cutoff_sha256","feature_cutoff_utc","feature_cutoff_sha256","competition_form_status","competition_form_window_type","competition_form_window_size","competition_form_cutoff_utc","competition_form_sha256","all_international_form_status","all_international_form_window_type","all_international_form_window_size","all_international_form_cutoff_utc","all_international_form_sha256","source_bundle_id","source_bundle_sha256","parent_state_manifest_sha256","parent_canonical_matches_sha256","parent_forecast_status_sha256","parent_forecasts_sha256","parent_score_distributions_sha256","row_sha256"
"uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047872","available","none","calibrated_1x2","0.088567980403618","0.219972078189349","0.691459941407033","0.744081992653035","2.05273590812896","open_nb_incumbent","c65a4f90477e5b799e234d1a313ff333f6cce12cfc08de93e342d7718c252ff8","phase14-open-nb-incumbent-calibrated-v1","0e89c2948c77b348c5b6d3832cf6d4e7721ca7794f8f68f857d6ae82b9fe7d50","fc9a617e48969b5d524f9994bccb31de0cb028829b4c58a1999b77cf12c5a990","2026-06-10","f111472708409b2ae9d74ab9d6c63a1750a20777d215face10c86ec5188046ad","2026-11-12T19:44:59Z","a6d243d78525531699f7186fff8c9c78c0d5e71b3a036b91c5f8679a11b62e63","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","nl-2026-27-official-uefa-v2","d5a807768f5f30401d022a77c6f0095052579d0a0d8e7bebe4a22e1711e01dc2","4b86dbbc37724690cc1bf53cfb36796c38daeec7ef3a5697bbe1ac90458a9038","d5d9f2ca196f2741dd8fcabccfce6097f358a4a31ac58eeec864124d8bc53bef","8a28055a6971f07732962e1a1fd53bf87d14bba29f087767e9ca9d35df45ab7c","f4c2f23d3fb8c048b7597b7342415f2beb2d0147c89cd442aa4d7d8412380046","51b1d5bed4357c9ec89bb5876a101632a31e198624a5c3eea41eab918b0d9829","f151805a2a312792a1bc3865eb82d46508034a1009413ef847004044df99cec3"
"uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047873","available","none","calibrated_1x2","0.288631545238623","0.309268134920412","0.402100319840965","1.18586323742978","1.24518095886396","open_nb_incumbent","c65a4f90477e5b799e234d1a313ff333f6cce12cfc08de93e342d7718c252ff8","phase14-open-nb-incumbent-calibrated-v1","0e89c2948c77b348c5b6d3832cf6d4e7721ca7794f8f68f857d6ae82b9fe7d50","fc9a617e48969b5d524f9994bccb31de0cb028829b4c58a1999b77cf12c5a990","2026-06-10","f111472708409b2ae9d74ab9d6c63a1750a20777d215face10c86ec5188046ad","2026-11-12T16:59:59Z","42a92a6579bd956367eaf25141a62ea7ba3f72eb4d2e45c299c2b3d236cce814","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","nl-2026-27-official-uefa-v2","d5a807768f5f30401d022a77c6f0095052579d0a0d8e7bebe4a22e1711e01dc2","4b86dbbc37724690cc1bf53cfb36796c38daeec7ef3a5697bbe1ac90458a9038","d5d9f2ca196f2741dd8fcabccfce6097f358a4a31ac58eeec864124d8bc53bef","8a28055a6971f07732962e1a1fd53bf87d14bba29f087767e9ca9d35df45ab7c","f4c2f23d3fb8c048b7597b7342415f2beb2d0147c89cd442aa4d7d8412380046","51b1d5bed4357c9ec89bb5876a101632a31e198624a5c3eea41eab918b0d9829","27cd4f11412f118b2f54d856667884e831bfba5fcf2426ab715697ffbeeb092a"
"uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047874","available","none","calibrated_1x2","0.392872482141622","0.306907790517877","0.300219727340501","1.40294891833698","1.03974762691306","open_nb_incumbent","c65a4f90477e5b799e234d1a313ff333f6cce12cfc08de93e342d7718c252ff8","phase14-open-nb-incumbent-calibrated-v1","0e89c2948c77b348c5b6d3832cf6d4e7721ca7794f8f68f857d6ae82b9fe7d50","fc9a617e48969b5d524f9994bccb31de0cb028829b4c58a1999b77cf12c5a990","2026-06-10","f111472708409b2ae9d74ab9d6c63a1750a20777d215face10c86ec5188046ad","2026-11-12T19:44:59Z","a6d243d78525531699f7186fff8c9c78c0d5e71b3a036b91c5f8679a11b62e63","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","nl-2026-27-official-uefa-v2","d5a807768f5f30401d022a77c6f0095052579d0a0d8e7bebe4a22e1711e01dc2","4b86dbbc37724690cc1bf53cfb36796c38daeec7ef3a5697bbe1ac90458a9038","d5d9f2ca196f2741dd8fcabccfce6097f358a4a31ac58eeec864124d8bc53bef","8a28055a6971f07732962e1a1fd53bf87d14bba29f087767e9ca9d35df45ab7c","f4c2f23d3fb8c048b7597b7342415f2beb2d0147c89cd442aa4d7d8412380046","51b1d5bed4357c9ec89bb5876a101632a31e198624a5c3eea41eab918b0d9829","12872522fc770f1c25f4d64084ac3c1a013d78a3b9d248fef9639d73c99218b1"
"uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047875","available","none","calibrated_1x2","0.668096410416679","0.220924127718343","0.110979461864978","2.13810647438574","0.661703165903506","open_nb_incumbent","c65a4f90477e5b799e234d1a313ff333f6cce12cfc08de93e342d7718c252ff8","phase14-open-nb-incumbent-calibrated-v1","0e89c2948c77b348c5b6d3832cf6d4e7721ca7794f8f68f857d6ae82b9fe7d50","fc9a617e48969b5d524f9994bccb31de0cb028829b4c58a1999b77cf12c5a990","2026-06-10","f111472708409b2ae9d74ab9d6c63a1750a20777d215face10c86ec5188046ad","2026-11-12T19:44:59Z","a6d243d78525531699f7186fff8c9c78c0d5e71b3a036b91c5f8679a11b62e63","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","nl-2026-27-official-uefa-v2","d5a807768f5f30401d022a77c6f0095052579d0a0d8e7bebe4a22e1711e01dc2","4b86dbbc37724690cc1bf53cfb36796c38daeec7ef3a5697bbe1ac90458a9038","d5d9f2ca196f2741dd8fcabccfce6097f358a4a31ac58eeec864124d8bc53bef","8a28055a6971f07732962e1a1fd53bf87d14bba29f087767e9ca9d35df45ab7c","f4c2f23d3fb8c048b7597b7342415f2beb2d0147c89cd442aa4d7d8412380046","51b1d5bed4357c9ec89bb5876a101632a31e198624a5c3eea41eab918b0d9829","cc3e6c0121b5902a2f0eb6d4b3570d2bbd292f957ec0a3a90187bdabbd835df1"
"uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047876","available","none","calibrated_1x2","0.490110676145552","0.287857240781396","0.222032083073052","1.62386646449914","0.888815090283797","open_nb_incumbent","c65a4f90477e5b799e234d1a313ff333f6cce12cfc08de93e342d7718c252ff8","phase14-open-nb-incumbent-calibrated-v1","0e89c2948c77b348c5b6d3832cf6d4e7721ca7794f8f68f857d6ae82b9fe7d50","fc9a617e48969b5d524f9994bccb31de0cb028829b4c58a1999b77cf12c5a990","2026-06-10","f111472708409b2ae9d74ab9d6c63a1750a20777d215face10c86ec5188046ad","2026-11-12T16:59:59Z","42a92a6579bd956367eaf25141a62ea7ba3f72eb4d2e45c299c2b3d236cce814","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","nl-2026-27-official-uefa-v2","d5a807768f5f30401d022a77c6f0095052579d0a0d8e7bebe4a22e1711e01dc2","4b86dbbc37724690cc1bf53cfb36796c38daeec7ef3a5697bbe1ac90458a9038","d5d9f2ca196f2741dd8fcabccfce6097f358a4a31ac58eeec864124d8bc53bef","8a28055a6971f07732962e1a1fd53bf87d14bba29f087767e9ca9d35df45ab7c","f4c2f23d3fb8c048b7597b7342415f2beb2d0147c89cd442aa4d7d8412380046","51b1d5bed4357c9ec89bb5876a101632a31e198624a5c3eea41eab918b0d9829","65818e43de12e8e5b4d682f9ab80f15dddde70b39f5d4ef7e50063ad49642f7d"
"uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047877","available","none","calibrated_1x2","0.00848868288297611","0.0640669771836333","0.927444339933391","0.4023286835683","3.96961899299509","open_nb_incumbent","c65a4f90477e5b799e234d1a313ff333f6cce12cfc08de93e342d7718c252ff8","phase14-open-nb-incumbent-calibrated-v1","0e89c2948c77b348c5b6d3832cf6d4e7721ca7794f8f68f857d6ae82b9fe7d50","fc9a617e48969b5d524f9994bccb31de0cb028829b4c58a1999b77cf12c5a990","2026-06-10","f111472708409b2ae9d74ab9d6c63a1750a20777d215face10c86ec5188046ad","2026-11-12T19:44:59Z","a6d243d78525531699f7186fff8c9c78c0d5e71b3a036b91c5f8679a11b62e63","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","nl-2026-27-official-uefa-v2","d5a807768f5f30401d022a77c6f0095052579d0a0d8e7bebe4a22e1711e01dc2","4b86dbbc37724690cc1bf53cfb36796c38daeec7ef3a5697bbe1ac90458a9038","d5d9f2ca196f2741dd8fcabccfce6097f358a4a31ac58eeec864124d8bc53bef","8a28055a6971f07732962e1a1fd53bf87d14bba29f087767e9ca9d35df45ab7c","f4c2f23d3fb8c048b7597b7342415f2beb2d0147c89cd442aa4d7d8412380046","51b1d5bed4357c9ec89bb5876a101632a31e198624a5c3eea41eab918b0d9829","5496d2422b610f196039e6608c54f6fa0b74d5b1e41cce654ab1122d97863cbb"
"uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047878","available","none","calibrated_1x2","0.272107462420258","0.307495482180133","0.420397055399608","1.15216231910393","1.28428646823417","open_nb_incumbent","c65a4f90477e5b799e234d1a313ff333f6cce12cfc08de93e342d7718c252ff8","phase14-open-nb-incumbent-calibrated-v1","0e89c2948c77b348c5b6d3832cf6d4e7721ca7794f8f68f857d6ae82b9fe7d50","fc9a617e48969b5d524f9994bccb31de0cb028829b4c58a1999b77cf12c5a990","2026-06-10","f111472708409b2ae9d74ab9d6c63a1750a20777d215face10c86ec5188046ad","2026-11-12T19:44:59Z","a6d243d78525531699f7186fff8c9c78c0d5e71b3a036b91c5f8679a11b62e63","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","nl-2026-27-official-uefa-v2","d5a807768f5f30401d022a77c6f0095052579d0a0d8e7bebe4a22e1711e01dc2","4b86dbbc37724690cc1bf53cfb36796c38daeec7ef3a5697bbe1ac90458a9038","d5d9f2ca196f2741dd8fcabccfce6097f358a4a31ac58eeec864124d8bc53bef","8a28055a6971f07732962e1a1fd53bf87d14bba29f087767e9ca9d35df45ab7c","f4c2f23d3fb8c048b7597b7342415f2beb2d0147c89cd442aa4d7d8412380046","51b1d5bed4357c9ec89bb5876a101632a31e198624a5c3eea41eab918b0d9829","69d52bcaabd498d615d62f0a33d8d876b2b766c3ba8fa7d550a395292c263a67"
"uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047879","available","none","calibrated_1x2","0.572808061155271","0.261437232976509","0.16575470586822","1.83855106243923","0.77798872590542","open_nb_incumbent","c65a4f90477e5b799e234d1a313ff333f6cce12cfc08de93e342d7718c252ff8","phase14-open-nb-incumbent-calibrated-v1","0e89c2948c77b348c5b6d3832cf6d4e7721ca7794f8f68f857d6ae82b9fe7d50","fc9a617e48969b5d524f9994bccb31de0cb028829b4c58a1999b77cf12c5a990","2026-06-10","f111472708409b2ae9d74ab9d6c63a1750a20777d215face10c86ec5188046ad","2026-11-12T19:44:59Z","a6d243d78525531699f7186fff8c9c78c0d5e71b3a036b91c5f8679a11b62e63","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","nl-2026-27-official-uefa-v2","d5a807768f5f30401d022a77c6f0095052579d0a0d8e7bebe4a22e1711e01dc2","4b86dbbc37724690cc1bf53cfb36796c38daeec7ef3a5697bbe1ac90458a9038","d5d9f2ca196f2741dd8fcabccfce6097f358a4a31ac58eeec864124d8bc53bef","8a28055a6971f07732962e1a1fd53bf87d14bba29f087767e9ca9d35df45ab7c","f4c2f23d3fb8c048b7597b7342415f2beb2d0147c89cd442aa4d7d8412380046","51b1d5bed4357c9ec89bb5876a101632a31e198624a5c3eea41eab918b0d9829","70cb356a8add91dc45017a8d00edae2015c3c19ffde5b5bf62711fb56cf19c80"
"uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047880","available","none","calibrated_1x2","0.793019167375875","0.152864927477651","0.0541159051464743","2.69754471758578","0.515703293563354","open_nb_incumbent","c65a4f90477e5b799e234d1a313ff333f6cce12cfc08de93e342d7718c252ff8","phase14-open-nb-incumbent-calibrated-v1","0e89c2948c77b348c5b6d3832cf6d4e7721ca7794f8f68f857d6ae82b9fe7d50","fc9a617e48969b5d524f9994bccb31de0cb028829b4c58a1999b77cf12c5a990","2026-06-10","f111472708409b2ae9d74ab9d6c63a1750a20777d215face10c86ec5188046ad","2026-11-13T19:44:59Z","6284ca4e342bd1076e6f27957f56dcb613dd672c2d10659dfa43f638055afc9d","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","nl-2026-27-official-uefa-v2","d5a807768f5f30401d022a77c6f0095052579d0a0d8e7bebe4a22e1711e01dc2","4b86dbbc37724690cc1bf53cfb36796c38daeec7ef3a5697bbe1ac90458a9038","d5d9f2ca196f2741dd8fcabccfce6097f358a4a31ac58eeec864124d8bc53bef","8a28055a6971f07732962e1a1fd53bf87d14bba29f087767e9ca9d35df45ab7c","f4c2f23d3fb8c048b7597b7342415f2beb2d0147c89cd442aa4d7d8412380046","51b1d5bed4357c9ec89bb5876a101632a31e198624a5c3eea41eab918b0d9829","4329388da1b07a30b44143b962e95fb1002d90c01598259ae2fb15a5bdbaaffe"
"uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047881","available","none","calibrated_1x2","0.419281415877897","0.303157115484809","0.277561468637294","1.46052830434167","0.995846409718227","open_nb_incumbent","c65a4f90477e5b799e234d1a313ff333f6cce12cfc08de93e342d7718c252ff8","phase14-open-nb-incumbent-calibrated-v1","0e89c2948c77b348c5b6d3832cf6d4e7721ca7794f8f68f857d6ae82b9fe7d50","fc9a617e48969b5d524f9994bccb31de0cb028829b4c58a1999b77cf12c5a990","2026-06-10","f111472708409b2ae9d74ab9d6c63a1750a20777d215face10c86ec5188046ad","2026-11-13T19:44:59Z","6284ca4e342bd1076e6f27957f56dcb613dd672c2d10659dfa43f638055afc9d","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","unavailable","no_eligible_form_history","","","187fc7edc01d48f6ebbca0ad4d6bef04a15fe77cf8fe1db24e673b7b233beb0a","nl-2026-27-official-uefa-v2","d5a807768f5f30401d022a77c6f0095052579d0a0d8e7bebe4a22e1711e01dc2","4b86dbbc37724690cc1bf53cfb36796c38daeec7ef3a5697bbe1ac90458a9038","d5d9f2ca196f2741dd8fcabccfce6097f358a4a31ac58eeec864124d8bc53bef","8a28055a6971f07732962e1a1fd53bf87d14bba29f087767e9ca9d35df45ab7c","f4c2f23d3fb8c048b7597b7342415f2beb2d0147c89cd442aa4d7d8412380046","51b1d5bed4357c9ec89bb5876a101632a31e198624a5c3eea41eab918b0d9829","d68259807282af0d373d0048ea54897ff4febb8e3e6ed09e61951fde0cc0a64e"
